TTL,FREQ,PERCENT
0,0,0.000000
1,15,0.000002
2,16,0.000002
3,16,0.000002
4,15,0.000002
5,19,0.000002
6,76,0.000009
7,13,0.000001
8,7,0.000001
9,14,0.000002
10,8,0.000001
11,8,0.000001
12,14,0.000002
13,6,0.000001
14,110,0.000012
15,6,0.000001
16,37,0.000004
17,81,0.000009
18,215,0.000024
19,612,0.000069
20,945,0.000107
21,2844,0.000321
22,5282,0.000597
23,8907,0.001006
24,3341,0.000377
25,2342,0.000265
26,7820,0.000883
27,2334,0.000264
28,174,0.000020
29,111,0.000013
30,672,0.000076
31,0,0.000000
32,3,0.000000
33,8,0.000001
34,8,0.000001
35,1241,0.000140
36,38,0.000004
37,124,0.000014
38,284,0.000032
39,89,0.000010
40,229,0.000026
41,615,0.000069
42,443,0.000050
43,84,0.000009
44,78,0.000009
45,458,0.000052
46,860,0.000097
47,3304,0.000373
48,2365,0.000267
49,4966,0.000561
50,12680,0.001432
51,32253,0.003643
52,34823,0.003933
53,91067,0.010286
54,202352,0.022856
55,179036,0.020222
56,282941,0.031958
57,664891,0.075099
58,210456,0.023771
59,209224,0.023632
60,1182902,0.133608
61,102200,0.011543
62,10,0.000001
63,1013,0.000114
64,1084,0.000122
65,1,0.000000
66,0,0.000000
67,0,0.000000
68,0,0.000000
69,0,0.000000
70,0,0.000000
71,0,0.000000
72,0,0.000000
73,0,0.000000
74,0,0.000000
75,0,0.000000
76,0,0.000000
77,0,0.000000
78,0,0.000000
79,0,0.000000
80,0,0.000000
81,0,0.000000
82,0,0.000000
83,0,0.000000
84,0,0.000000
85,0,0.000000
86,0,0.000000
87,6,0.000001
88,0,0.000000
89,1,0.000000
90,47,0.000005
91,102,0.000012
92,6,0.000001
93,6,0.000001
94,5,0.000001
95,169,0.000019
96,5,0.000001
97,213,0.000024
98,90,0.000010
99,142,0.000016
100,27,0.000003
101,273,0.000031
102,84,0.000009
103,47,0.000005
104,57,0.000006
105,164,0.000019
106,146,0.000016
107,78,0.000009
108,333,0.000038
109,413,0.000047
110,1225,0.000138
111,4988,0.000563
112,10790,0.001219
113,26713,0.003017
114,69445,0.007844
115,96911,0.010946
116,98412,0.011116
117,240186,0.027129
118,714065,0.080653
119,836416,0.094473
120,721119,0.081450
121,632195,0.071406
122,1494558,0.168809
123,293970,0.033204
124,94990,0.010729
125,36569,0.004130
126,3,0.000000
127,7,0.000001
128,0,0.000000
129,0,0.000000
130,0,0.000000
131,0,0.000000
132,0,0.000000
133,0,0.000000
134,0,0.000000
135,0,0.000000
136,0,0.000000
137,0,0.000000
138,0,0.000000
139,7,0.000001
140,33,0.000004
141,31,0.000004
142,105,0.000012
143,47,0.000005
144,942,0.000106
145,25,0.000003
146,1,0.000000
147,0,0.000000
148,0,0.000000
149,1,0.000000
150,0,0.000000
151,0,0.000000
152,0,0.000000
153,0,0.000000
154,0,0.000000
155,0,0.000000
156,0,0.000000
157,0,0.000000
158,0,0.000000
159,0,0.000000
160,0,0.000000
161,0,0.000000
162,0,0.000000
163,0,0.000000
164,0,0.000000
165,0,0.000000
166,0,0.000000
167,0,0.000000
168,0,0.000000
169,0,0.000000
170,0,0.000000
171,0,0.000000
172,0,0.000000
173,0,0.000000
174,0,0.000000
175,0,0.000000
176,0,0.000000
177,0,0.000000
178,0,0.000000
179,0,0.000000
180,0,0.000000
181,0,0.000000
182,0,0.000000
183,6,0.000001
184,253,0.000029
185,0,0.000000
186,290,0.000033
187,0,0.000000
188,0,0.000000
189,0,0.000000
190,0,0.000000
191,36,0.000004
192,0,0.000000
193,74,0.000008
194,0,0.000000
195,0,0.000000
196,0,0.000000
197,0,0.000000
198,0,0.000000
199,0,0.000000
200,0,0.000000
201,0,0.000000
202,0,0.000000
203,0,0.000000
204,0,0.000000
205,0,0.000000
206,0,0.000000
207,0,0.000000
208,0,0.000000
209,0,0.000000
210,0,0.000000
211,0,0.000000
212,0,0.000000
213,0,0.000000
214,0,0.000000
215,0,0.000000
216,0,0.000000
217,0,0.000000
218,0,0.000000
219,0,0.000000
220,0,0.000000
221,0,0.000000
222,0,0.000000
223,0,0.000000
224,0,0.000000
225,6,0.000001
226,0,0.000000
227,0,0.000000
228,11,0.000001
229,4,0.000000
230,0,0.000000
231,1,0.000000
232,1,0.000000
233,0,0.000000
234,2,0.000000
235,26,0.000003
236,10,0.000001
237,606,0.000068
238,87,0.000010
239,310,0.000035
240,2052,0.000232
241,3003,0.000339
242,2481,0.000280
243,1143,0.000129
244,14228,0.001607
245,24151,0.002728
246,49196,0.005557
247,14572,0.001646
248,21269,0.002402
249,57409,0.006484
250,7102,0.000802
251,13683,0.001545
252,2762,0.000312
253,1967,0.000222
254,1872,0.000211
255,557,0.000063